Zipcode,Street,Unit,City,Lat,Long,Block Group
90034,3647 S HUGHES AVE,,Los Angeles,34.02637,-118.40148,060372699061000
90025,2150 S WESTWOOD BLVD,,Los Angeles,34.04466,-118.43218,060372672023008
90002,9531 S COMPTON AVE,,Los Angeles,33.94976,-118.24639,060372423001002
90025,2142 S WESTWOOD BLVD,,Los Angeles,34.0447,-118.43222,060372672023008
91342,13901 W POLK ST,,Los Angeles,34.3196,-118.43654,060371060101019
90026,1746 N GLENDALE BLVD,,Los Angeles,34.08707,-118.25943,060371974201002
90025,2164 S WESTWOOD BLVD,,Los Angeles,34.04443,-118.43192,060372672023008
90034,3653 S HUGHES AVE,,Los Angeles,34.02626,-118.4014,060372699061000
90032,2922 N ADKINS AVE,,Los Angeles,34.07941,-118.17131,060372016022005
90048,6207 W SAN VICENTE BLVD,,Los Angeles,34.06074,-118.36631,060372163011017
90034,3672 S JASMINE AVE,,Los Angeles,34.02438,-118.40378,060372699062001
90003,121 W 91ST ST,,Los Angeles,33.95383,-118.27464,060372402002005
90003,125 W 91ST ST,,Los Angeles,33.95383,-118.27476,060372402002005
90035,914 S WOOSTER ST,,Los Angeles,34.06041,-118.38228,060372164022004
90066,3789 S ROSEWOOD AVE,,Los Angeles,33.99922,-118.44387,060372721005003
90004,4173 W OAKWOOD AVE,1/2,Los Angeles,34.0781,-118.29781,060371926202003
90003,117 W 91ST ST,,Los Angeles,33.95383,-118.27458,060372402002005
90046,8790 W APPIAN WAY,,Los Angeles,34.10539,-118.3809,060371943002000
90066,12456 W WAGNER ST,,Los Angeles,33.9889,-118.42097,060372753113004
90732,1214 W PARK WESTERN DR,,Los Angeles,33.756,-118.29912,060372963002001
90004,4173 W OAKWOOD AVE,,Los Angeles,34.0781,-118.29781,060371926202003
90003,115 W 91ST ST,,Los Angeles,33.95383,-118.2745,060372402002005
90035,910 S WOOSTER ST,,Los Angeles,34.06054,-118.38227,060372164022004
90001,833 E 85TH ST,,Los Angeles,33.96117,-118.25956,060372398021005
90066,3791 S ROSEWOOD AVE,,Los Angeles,33.99916,-118.44382,060372721005003
90063,401 N BERNAL AVE,,Los Angeles,34.04099,-118.19391,060372038004000
90063,403 N BERNAL AVE,,Los Angeles,34.04103,-118.19389,060372038004000
90044,8128 S NORMANDIE AVE,,Los Angeles,33.96467,-118.30008,060372382004011
90049,719 S WESTGATE AVE,,Los Angeles,34.0535,-118.47007,060372640002010
90049,717 S WESTGATE AVE,,Los Angeles,34.05358,-118.47016,060372640002010
90042,5608 MARMION WAY,,Los Angeles,34.11014,-118.19444,060371836102009
90035,912 S WOOSTER ST,,Los Angeles,34.06046,-118.38227,060372164022004
90003,121 W 91ST ST,1/2,Los Angeles,33.95383,-118.27464,060372402002005
90063,217 S LORENA ST,,Los Angeles,34.03513,-118.19657,060372041103002
90032,2920 N ADKINS AVE,,Los Angeles,34.07938,-118.17133,060372016022005
90048,6201 W BARROWS DR,,Los Angeles,34.06064,-118.36612,060372163011017
90744,313 N FIGUEROA ST,,Los Angeles,33.77231,-118.27886,060372949001008
90744,339 N FIGUEROA ST,,Los Angeles,33.7733,-118.27884,060372949001008
90026,1876 N LUCRETIA AVE,,Los Angeles,34.08497,-118.25054,060371973001006
90046,8123 W CORNETT DR,,Los Angeles,34.12002,-118.37565,060372611031000
90061,10957 S MAIN ST,1/2,Los Angeles,33.93624,-118.27419,060372411204000
90039,3410 W CASITAS AVE,1/2,Los Angeles,34.1186,-118.25519,060371871012004
91406,15557 W SATICOY ST,,Los Angeles,34.20861,-118.47247,060371273001001
90744,423 N FIGUEROA ST,,Los Angeles,33.77401,-118.27891,060372949001008
90061,10957 S MAIN ST,,Los Angeles,33.93624,-118.27419,060372411204000
90061,10961 S MAIN ST,,Los Angeles,33.93617,-118.27414,060372411204000
90026,1880 N LUCRETIA AVE,,Los Angeles,34.08511,-118.25035,060371973001006
91604,4600 N COLDWATER CANYON AVE,,Los Angeles,34.15402,-118.4136,060371434011005
90061,10959 S MAIN ST,,Los Angeles,33.93621,-118.27414,060372411204000
90039,3410 W CASITAS AVE,,Los Angeles,34.1186,-118.25519,060371871012004
90744,421 N FIGUEROA ST,,Los Angeles,33.77395,-118.27891,060372949001008
91406,15555 W SATICOY ST,,Los Angeles,34.20861,-118.47223,060371273001001
90045,6570 W 84TH PL,,Los Angeles,33.96179,-118.40403,060372770002006
90291,332 S RENNIE AVE,1/2,Los Angeles,33.99796,-118.4724,060372733001011
90039,3012 N FINCH ST,,Los Angeles,34.11225,-118.26033,060371871011009
90064,2240 S MALCOLM AVE,,Los Angeles,34.04399,-118.42894,060372678002001
90034,1917 S CRESCENT HEIGHTS BLVD,,Los Angeles,34.0419,-118.37548,060372703002011
90043,3237 W 60TH ST,,Los Angeles,33.98553,-118.32915,060372347003008
90731,747 W BATTERY ST,,Los Angeles,33.75453,-118.29342,060372963001005
